Combat Event Log
====================================================================================================
Generated: 1/6/2026, 8:55:43 AM
Total Events: 34
Game Time: 177s

[21.20s]     SHIELD ONLY: Player blocked 16.00 damage (raw: 16.00) | Shield absorbed all damage
[21.26s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[21.26s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[21.93s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[21.98s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[22.07s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[22.14s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[22.17s]     SHIELD ONLY: Player blocked 12.00 damage (raw: 12.00) | Shield absorbed all damage
[22.80s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[23.48s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[24.14s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[24.80s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[25.29s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[25.48s]     DAMAGE: Player took 20.39 HP (raw: 64.00, shield: 43.00, block: 0.00, def: 0.61) | HP: 153.49 → 133.10
[26.15s]     SHIELD ONLY: Player blocked 64.00 damage (raw: 64.00) | Shield absorbed all damage
[26.25s]     DAMAGE: Player took 46.60 HP (raw: 64.00, shield: 16.00, block: 0.00, def: 1.40) | HP: 122.76 → 76.16
[26.81s]     DAMAGE: Player took 62.14 HP (raw: 64.00, shield: 0.00, block: 0.00, def: 1.86) | HP: 50.95 → 0.00
[40.33s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[40.99s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[41.66s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[42.33s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[42.99s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[43.66s]     SHIELD ONLY: Player blocked 9.00 damage (raw: 9.00) | Shield absorbed all damage
[44.32s]     DAMAGE: Player took 4.47 HP (raw: 9.00, shield: 4.40, block: 0.00, def: 0.13) | HP: 160.00 → 155.53
[45.00s]     DAMAGE: Player took 8.74 HP (raw: 9.00, shield: 0.00, block: 0.00, def: 0.26) | HP: 156.48 → 147.75
[45.66s]     DAMAGE: Player took 8.74 HP (raw: 9.00, shield: 0.00, block: 0.00, def: 0.26) | HP: 148.67 → 139.94
[46.32s]     DAMAGE: Player took 8.74 HP (raw: 9.00, shield: 0.00, block: 0.00, def: 0.26) | HP: 160.00 → 151.26
[166.12s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[166.78s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[167.45s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[168.11s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[168.79s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[169.46s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[170.12s]    SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage

====================================================================================================
END OF LOG
