Combat Event Log
====================================================================================================
Generated: 1/7/2026, 2:12:43 PM
Total Events: 33
Game Time: 102s

[5.83s]      SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[6.51s]      SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[7.17s]      SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[59.59s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[60.26s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[60.92s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[67.76s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[68.42s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[69.39s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[70.05s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[70.73s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[71.40s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[80.05s]     SHIELD ONLY: Player blocked 14.00 damage (raw: 14.00) | Shield absorbed all damage
[80.73s]     SHIELD ONLY: Player blocked 14.00 damage (raw: 14.00) | Shield absorbed all damage
[90.06s]     SHIELD ONLY: Player blocked 14.00 damage (raw: 14.00) | Shield absorbed all damage
[92.28s]     SHIELD ONLY: Player blocked 14.00 damage (raw: 14.00) | Shield absorbed all damage
[92.94s]     SHIELD ONLY: Player blocked 14.00 damage (raw: 14.00) | Shield absorbed all damage
[95.27s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[95.50s]     SHIELD ONLY: Player blocked 8.00 damage (raw: 8.00) | Shield absorbed all damage
[95.63s]     SHIELD ONLY: Player blocked 4.00 damage (raw: 4.00) | Shield absorbed all damage
[96.03s]     DAMAGE: Player took 11.65 HP (raw: 14.00, shield: 2.00, block: 0.00, def: 0.35) | HP: 126.53 → 114.88
[97.16s]     DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 80.98 → 77.09
[97.26s]     DAMAGE: Player took 7.77 HP (raw: 8.00, shield: 0.00, block: 0.00, def: 0.23) | HP: 77.23 → 69.46
[97.40s]     DAMAGE: Player took 11.65 HP (raw: 12.00, shield: 0.00, block: 0.00, def: 0.35) | HP: 78.75 → 67.10
[97.76s]     DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 67.61 → 63.72
[97.76s]     DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 63.72 → 59.84
[98.06s]     DAMAGE: Player took 11.65 HP (raw: 12.00, shield: 0.00, block: 0.00, def: 0.35) | HP: 94.36 → 82.71
[98.06s]     DAMAGE: Player took 7.77 HP (raw: 8.00, shield: 0.00, block: 0.00, def: 0.23) | HP: 82.71 → 74.94
[98.42s]     DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 75.45 → 71.56
[100.33s]    DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 74.25 → 70.36
[101.09s]    DAMAGE: Player took 7.77 HP (raw: 8.00, shield: 0.00, block: 0.00, def: 0.23) | HP: 71.43 → 63.66
[101.39s]    DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 99.08 → 95.19
[102.38s]    DAMAGE: Player took 3.88 HP (raw: 4.00, shield: 0.00, block: 0.00, def: 0.12) | HP: 96.58 → 92.70

====================================================================================================
END OF LOG
