Debug Diagnostic Log
========================================================================================================================
Generated: 1/6/2026, 8:55:43 AM
Total Events: 22017
Game Time: 177s

CURRENT STATE:
  Player Level: 2
  Player HP: 184/184
  Player Mana: 81/81
  Player Stamina: 113/113
  Player Shield: 157 (cap: 184)
  Base Player MaxMana: 70
  Stat Spends: {"vit":0,"int":0,"str":0,"def":0,"agi":0}


======================================== undefined ========================================
[170.36s]  undefined | type:"ENEMY_AI_STATE", enemy:"warrior", role:"DPS", hp:119, mana:40, position:{"x":4453,"y":1902}, speed:90, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:32, hasSpawnTarget:true, team:"teamC"
[170.36s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_combat", target:"Flag 6", side:"South"
[170.39s]  undefined | type:"WALL_DAMAGE", site:"Flag 4", side:"South", attackers:4, attackerList:"Knight 816(TANK), Knight 835(TANK), Warden 236(TANK), Knight 754(TANK)", roleCounts:{"TANK":4}, damage:1.06, hpBefore:120, hpAfter:119, hpPercent:60
[170.39s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Knight 754", role:"TANK", decision:"attack_wall", target:"Flag 4 wall", distance:5, hp:59, mana:18, speed:110
[170.39s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"warden", role:"TANK", decision:"tank_walls_outpost", target:"Flag 4", side:"West", wallHP:200, distance:145, intactWalls:4, nearbyHostiles:1
[170.39s]  undefined | type:"ENEMY_ROLE_TARGET", enemy:"knight", role:"TANK", decision:"tank_walls_outpost", target:"Flag 6", side:"South", wallHP:141, distance:133, intactWalls:4, nearbyHostiles:1
[170.42s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 773", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:51, hp:34, mana:4, speed:110
[170.42s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4344,"y":2027}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.42s]  undefined | type:"ENEMY_AI_STATE", enemy:"knight", role:"TANK", hp:327, mana:30, position:{"x":4549,"y":1914}, speed:77, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:62, hasSpawnTarget:true, team:"teamB"
[170.45s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 773", role:"HEALER", decision:"follow_ally", target:"Mage Guard 1", distance:50, hp:34, mana:4, speed:110
[170.45s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4318,"y":2046}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.45s]  undefined | type:"MANA_STARVED", unit:"knight", kind:"enemy", ability:"heal_burst", required:18, current:15, max:40
[170.45s]  undefined | type:"MANA_STARVED", unit:"warrior", kind:"enemy", ability:"piercing_lance", required:16, current:12, max:60
[170.45s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"Mage Guard 1", distance:31, requiredRange:29, inWater:false
[170.47s]  undefined | type:"TANK_AI_START", tank:"Warden 359", position:{"x":4317,"y":2051}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.50s]  undefined | type:"TANK_AI_START", tank:"Knight 816", position:{"x":4346,"y":2026}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.50s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"warrior", distance:77, requiredRange:30, inWater:false
[170.50s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:1, reason:"damage_rotation"
[170.52s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Warrior 912", role:"DPS", decision:"attack_objective", target:"Flag 4", distance:1360, hp:63, mana:24, speed:110
[170.52s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"slash", required:4, current:1, reason:"damage_rotation"
[170.54s]  undefined | type:"TANK_AI_START", tank:"Knight 835", position:{"x":4349,"y":2022}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.54s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"warden", target:"Mage 320", distance:38, requiredRange:29, inWater:false
[170.55s]  undefined | type:"TANK_AI_START", tank:"Knight 754", position:{"x":4346,"y":2026}, closestObjective:"Flag 4", closestObjectivePos:{"x":4411,"y":2085}, wallTarget:"YES", initialDecision:"idle"
[170.55s]  undefined | type:"FRIENDLY_ROLE_TARGET", friendly:"Mage 320", role:"HEALER", decision:"follow_ally", target:"Warrior Guard 5", distance:115, hp:50, mana:3, speed:110
[170.55s]  undefined | type:"ENEMY_AI_STATE", enemy:"mage", role:"HEALER", hp:194, mana:2, position:{"x":1020,"y":2268}, speed:95, hitCd:"0.00", attacked:true, inWater:false, nearestHostDist:42, hasSpawnTarget:true, team:"teamA"
[170.57s]  undefined | type:"ENEMY_ATTACK_OUT_OF_RANGE", attacker:"knight", target:"Mage Guard 1", distance:31, requiredRange:29, inWater:false
[170.57s]  undefined | type:"MANA_STARVATION", unit:"warrior", ability:"warrior_cleave", required:9, current:6, reason:"damage_rotation"
